subject,stimulus_id,stimuli,choices,confidence
0,1,0.6666666666666666,1,0.1419999999999999
0,1,0.3333333333333333,1,0.3879999999999999
0,1,0.6666666666666666,1,0.1240000000000001
0,0,-0.6666666666666666,1,0.4039999999999999
0,0,-0.3333333333333333,1,0.242
0,0,-0.3333333333333333,0,0.1879999999999999
0,1,0.6666666666666666,1,0.25
0,0,-1.0,0,0.5920000000000001
0,0,-0.3333333333333333,0,0.246
0,0,-0.6666666666666666,0,0.298
0,1,0.3333333333333333,0,0.4340000000000001
0,1,1.0,1,0.8660000000000001
0,1,1.0,1,0.8420000000000001
0,1,0.3333333333333333,1,0.1779999999999999
0,0,-0.3333333333333333,0,0.268
0,1,0.6666666666666666,1,0.3819999999999999
0,1,0.6666666666666666,1,0.4499999999999999
0,0,-1.0,0,0.5780000000000001
0,0,-0.3333333333333333,1,1.0
0,0,-0.6666666666666666,0,0.784
0,1,0.6666666666666666,1,0.694
0,1,0.3333333333333333,1,0.002
0,0,-1.0,0,0.536
0,1,0.6666666666666666,1,0.5
0,1,1.0,1,0.1579999999999999
0,1,1.0,1,0.1899999999999999
0,1,0.6666666666666666,1,0.548
0,1,0.3333333333333333,1,0.288
0,0,-0.3333333333333333,0,0.544
0,0,-1.0,1,0.1519999999999999
0,1,1.0,1,0.4499999999999999
0,0,-1.0,0,0.71
0,0,-1.0,0,0.4659999999999999
0,0,-0.6666666666666666,0,0.51
0,1,1.0,1,0.6140000000000001
0,0,-0.3333333333333333,1,0.022
0,0,-1.0,0,0.302
0,1,0.6666666666666666,1,0.3360000000000001
0,1,0.6666666666666666,1,0.1259999999999999
0,1,0.6666666666666666,1,0.27
0,0,-0.6666666666666666,1,0.002
0,0,-1.0,1,0.002
0,1,1.0,1,0.076
0,1,1.0,1,0.542
0,0,-0.6666666666666666,0,0.056
0,0,-0.6666666666666666,0,0.6419999999999999
0,0,-0.3333333333333333,1,1.0
0,0,-0.3333333333333333,1,0.002
0,1,0.3333333333333333,1,0.4059999999999999
0,0,-0.6666666666666666,1,0.002
0,0,-0.6666666666666666,0,0.6539999999999999
0,0,-0.3333333333333333,1,0.002
0,0,-1.0,0,1.0
0,1,0.6666666666666666,1,0.6619999999999999
0,0,-0.6666666666666666,0,0.3479999999999998
0,0,-1.0,0,0.536
0,0,-0.6666666666666666,0,0.478
0,1,0.6666666666666666,1,0.538
0,1,0.3333333333333333,1,0.3420000000000001
0,0,-0.6666666666666666,0,0.99
0,1,0.3333333333333333,1,0.56
0,0,-1.0,0,0.556
0,1,1.0,1,0.782
0,0,-0.6666666666666666,0,0.6480000000000001
0,0,-1.0,0,0.558
0,1,1.0,1,0.808
0,0,-0.6666666666666666,0,0.8679999999999999
0,0,-1.0,0,0.77
0,1,1.0,1,0.8480000000000001
0,1,0.6666666666666666,1,0.07
0,1,1.0,1,1.0
0,1,1.0,1,0.4279999999999999
0,0,-1.0,0,0.8580000000000001
0,1,1.0,1,0.284
0,0,-0.6666666666666666,0,0.778
0,0,-0.3333333333333333,1,1.0
0,0,-0.6666666666666666,0,1.0
